"GEOID","county","state","Grains..oilseeds..dry.beans..and.dry.peas","Tobacco","Cotton.and.cottonseed","Vegetables..melons..potatoes..and.sweet.potatoes","Fruits..tree.nuts..and.berries","Nursery..greenhouse..floriculture..and.sod","Cut.Christmas.trees.and.short.rotation.woody.crops","Other.crops.and.hay","Poultry.and.eggs","Cattle.and.calves","Milk.from.cows","Hogs.and.pigs","Sheep..goats..wool..mohair..and.milk","Horses..ponies..mules..burros..and.donkeys","Aquaculture","Other.animals.and.other.animal.products","Other","farmentropy","Number.of.Farms","Land.in.Farms","Average.Size.of.Farm","Market.Value.of.Products.Sold","Average.Per.Farm","Government.Payments","Average.Per.Farm.Receiving.Payments","Number.of.Farms.07","Land.in.Farms.07","Average.Size.of.Farm.07","Market.Value.of.Products.Sold.07","Average.Per.Farm.07","Government.Payments.07","Average.Per.Farm.Receiving.Payments.07","spendingperacre","spendingperfarm","changenumfarms","changelandfarms","dominantcomm"
"01027","Clay","Alabama",NA,NA,NA,117,NA,182,NA,543,51409,5423,NA,2,14,NA,NA,23,372,0.441510716142077,401,77871,194,58085000,144851,585000,7506,432,74415,172,34280000,79351,99000,1730,0.875780114248581,3.87540856007706,-31,3456,9
"01029","Cleburne","Alabama",370,NA,NA,NA,NA,2300,NA,423,77475,NA,NA,24,15,42,NA,10,3626,0.370186367770531,341,50204,147,84285000,247169,106000,2465,380,49493,130,66625000,175330,58000,1298,0.324567544360368,3.39181692361325,-39,711,9
"01031","Coffee","Alabama",6249,NA,14166,191,325,166,63,15830,211532,9346,NA,NA,54,137,106,4,0,0.733555680561703,899,202255,225,258167000,287172,3459000,6665,971,211150,217,196565000,202436,5695000,9156,1.23305129528719,3.82380015374988,-72,-8895,9
"01033","Colbert","Alabama",30441,NA,3580,119,NA,1154,NA,1005,23997,6312,NA,NA,85,203,NA,34,74,1.28683216139552,687,152767,222,67004000,97532,1996000,9240,736,128905,175,42429000,57648,2843000,10647,1.11613098680675,3.96567197122011,-49,23862,1
"01035","Conecuh","Alabama",1927,NA,3359,241,100,149,NA,1549,5917,3110,NA,NA,30,26,NA,NA,5,1.64188859330213,346,93709,271,16413000,47438,770000,5422,401,86293,215,7922000,19756,903000,5252,0.914709421769935,3.73415951324447,-55,7416,9
"01037","Coosa","Alabama",8,NA,NA,NA,155,NA,NA,301,27,893,NA,NA,15,108,NA,NA,585,1.45732712373799,152,35946,236,2092000,13761,39000,4358,207,45403,219,NA,NA,19000,995,0.0354140370524906,3.63928722591024,-55,-9457,10
"01039","Covington","Alabama",4523,NA,12000,NA,NA,1771,1,11748,77789,NA,NA,8,104,72,NA,27,11797,1.16600541374454,1051,208556,198,119840000,114025,2582000,5613,1096,200141,183,85608000,78110,3980000,7537,1.09273354924168,3.74919504221967,-45,8415,9
"01041","Crenshaw","Alabama",2290,NA,NA,110,204,NA,NA,2415,129401,9260,NA,NA,46,20,NA,NA,80,0.428994633363958,575,129893,226,143826000,250133,919000,3137,638,132385,208,111977000,175513,1516000,4650,0.849729764033538,3.49651451869775,-63,-2492,9
"01043","Cullman","Alabama",7750,NA,NA,3778,NA,1070,NA,2819,377257,17088,5434,NA,954,324,NA,101,520,0.473808662331097,2007,194083,97,417095000,207820,567000,2354,2465,229791,93,405872000,164654,916000,2727,0.465595562296542,3.37180645850742,-458,-35708,9
"01045","Dale","Alabama",2363,NA,9885,255,360,140,NA,12448,89447,2778,NA,3,40,188,60,82,0,0.882690080998624,487,129788,267,118049000,242401,1495000,5515,528,138197,262,76266000,144444,2307000,8298,1.06140665254356,3.74154551677621,-41,-8409,9
"01047","Dallas","Alabama",12215,NA,6881,1189,132,4233,NA,3076,NA,7537,NA,1,16,98,34199,NA,656,1.56379029390565,506,255114,504,70233000,138800,2616000,11277,555,257015,463,43949000,79187,5069000,19803,1.01090344742459,4.05219358043347,-49,-1901,15
"01049","DeKalb","Alabama",16499,NA,307,2355,NA,2034,NA,2981,411075,14908,868,10179,195,197,NA,29,77,0.526111084395247,2035,229294,113,461704000,226882,2652000,5401,2426,235246,97,414301000,170775,1383000,2434,1.06318082915885,3.73247417728119,-391,-5952,9
"01051","Elmore","Alabama",4266,NA,6495,NA,NA,4882,NA,NA,NA,NA,NA,42,73,95,1,66,10568,1.37903817219497,552,90346,164,26488000,47985,959000,10899,626,102816,164,14962000,23901,1526000,12507,1.02590967790385,4.03738665258238,-74,-12470,17
"01053","Escambia","Alabama",4901,NA,10765,NA,NA,NA,NA,19467,36,4550,NA,3,27,80,NA,11,1016,1.32150691929037,454,107369,236,40856000,89991,2602000,11719,502,112841,225,23471000,46754,5344000,24181,1.38442838397484,4.06889055425794,-48,-5472,8
"01055","Etowah","Alabama",1798,NA,1708,726,85,321,NA,765,72411,4742,801,NA,59,257,NA,NA,58,0.634880054488738,853,86137,101,83731000,98160,450000,4460,1004,94201,94,66157000,65894,518000,4625,0.718022771797265,3.64933485871214,-151,-8064,9
"01057","Fayette","Alabama",1836,NA,4610,289,9,NA,NA,3216,21219,1965,2903,NA,12,NA,21,2,247,1.38316135867568,414,81087,196,36329000,87751,903000,5823,401,78799,197,12958000,32314,724000,4416,1.04673651732078,3.76514679010803,13,2288,9
"01059","Franklin","Alabama",5236,NA,NA,NA,NA,15,NA,1660,116686,7992,200,11,81,181,NA,24,580,0.514948883175451,825,150496,182,132666000,160808,782000,4342,958,140861,147,133451000,139302,491000,2370,0.715681795993863,3.6376898191184,-133,9635,9
"01061","Geneva","Alabama",5334,NA,14077,1264,390,921,NA,25148,118841,10368,NA,2,43,119,NA,66,1909,1.15155773592835,1017,218805,215,178482000,175498,4741000,7876,1108,220676,199,130588000,117859,6583000,9638,1.33581271330839,3.89630570746608,-91,-1871,9
"01063","Greene","Alabama",558,NA,NA,NA,NA,NA,NA,907,22,NA,NA,NA,6,72,15630,NA,5197,0.839286955891382,304,120390,396,22392000,73659,790000,7310,316,135652,429,23015000,72831,842000,7079,0.81703667683694,3.86391737695786,-12,-15262,15
"01065","Hale","Alabama",1548,NA,NA,NA,NA,NA,NA,1413,NA,11378,NA,NA,13,NA,44995,NA,5831,0.950065863792876,456,160500,352,65178000,142934,797000,5457,479,169287,353,57830000,120732,1200000,6489,0.695983284655222,3.73695395378315,-23,-8787,15
"01067","Henry","Alabama",4515,NA,14645,50,NA,NA,NA,19333,30024,4803,NA,15,8,27,NA,NA,1602,1.47248344402178,498,169809,341,75022000,150646,3315000,10358,478,165699,347,39609000,82863,4820000,16912,1.29052282830073,4.01527590668188,20,4110,9
"01069","Houston","Alabama",3263,NA,12476,9043,NA,NA,NA,37684,NA,NA,NA,NA,33,362,NA,85,26272,1.38405393420206,816,197974,243,89218000,109336,5065000,10465,841,204645,243,55671000,66196,8206000,16955,1.40797129174773,4.01973923267471,-25,-6671,8
"01071","Jackson","Alabama",29217,NA,1920,1423,NA,NA,NA,2614,66037,11905,NA,NA,364,NA,3,93,3633,1.23910709476881,1376,231845,168,117209000,85181,1849000,3909,1523,242850,159,99670000,65443,2037000,4174,0.901739176878717,3.59206567043225,-147,-11005,9
"01073","Jefferson","Alabama",112,NA,NA,271,NA,134,NA,405,7647,1200,NA,20,45,327,5,26,161,1.02924704654223,394,39003,99,10353000,26276,98000,3065,470,40455,86,NA,NA,74000,2182,0.400128062682986,3.48643047885443,-76,-1452,9
"01075","Lamar","Alabama",NA,NA,NA,NA,NA,2,NA,741,3495,NA,NA,NA,53,67,NA,NA,3174,1.0276552258451,353,82282,233,7532000,21337,203000,2093,422,84645,201,NA,NA,416000,2889,0.392191198517076,3.32076922833869,-69,-2363,9
"01077","Lauderdale","Alabama",27687,NA,9444,277,89,686,NA,2059,20989,10138,NA,4,247,727,3,49,0,1.51393540023453,1466,211589,144,72399000,49385,2973000,5853,1697,227692,134,44966000,26497,4399000,7650,1.14770182317391,3.76737852411418,-231,-16103,1
"01079","Lawrence","Alabama",40853,NA,11985,279,NA,332,NA,2838,122533,10221,NA,4,253,2047,451,77,186,1.10939423093759,1551,243840,157,192059000,123829,4764000,7610,1601,222401,139,145032000,90589,6311000,9081,1.29086680315123,3.88138465677057,-50,21439,9
"01081","Lee","Alabama",710,NA,707,102,189,NA,NA,1376,NA,1595,NA,NA,126,172,370,NA,NA,1.82312427225747,315,59024,187,NA,NA,692000,11536,356,63188,177,NA,NA,497000,8571,1.06907745657403,4.06205524737535,-41,-4164,10
"01083","Limestone","Alabama",61294,NA,12859,237,360,8224,NA,2244,37987,8718,NA,211,290,205,NA,NA,104,1.42770399484257,1230,246697,201,132733000,107913,3605000,8483,1352,237188,175,70790000,52359,7749000,14960,1.16474140084406,3.92854946700166,-122,9509,1
"01085","Lowndes","Alabama",5873,NA,NA,198,NA,NA,NA,NA,38115,NA,NA,NA,13,73,90,38,31916,0.944001207432613,441,217760,494,76316000,173051,880000,5753,405,186823,461,57774000,142652,1575000,11840,0.606504564290909,3.7598943740255,36,30937,9
"01087","Macon","Alabama",1190,NA,2505,221,534,7075,NA,718,176,2002,NA,NA,71,NA,NA,NA,725,1.66395802473439,352,103317,294,15217000,43230,622000,5315,385,116758,303,13440000,34909,1466000,11826,0.779618597549211,3.72550326885932,-33,-13441,6
"01089","Madison","Alabama",40542,NA,18687,308,NA,2865,NA,1460,3814,5812,NA,NA,76,350,1,168,120,1.31193870780044,1033,209352,203,74203000,71833,3156000,8965,1187,199294,168,37488000,31582,5477000,15472,1.17825988034995,3.9525502938982,-154,10058,1
"01091","Marengo","Alabama",1956,NA,NA,212,NA,NA,NA,NA,92,8908,NA,8,21,40,NA,NA,8206,1.05063823149162,499,165436,332,19443000,38963,912000,6334,555,178157,321,16510000,29747,1392000,8333,0.741364817391651,3.80167805903589,-56,-12721,10
"01093","Marion","Alabama",1766,NA,NA,114,NA,22,NA,1257,92944,3671,NA,27,11,209,NA,17,25,0.345279158934295,715,113773,159,100063000,139948,599000,2896,787,117206,149,70237000,89246,694000,2765,0.721387612547055,3.46179855752511,-72,-3433,9
"01095","Marshall","Alabama",4184,NA,NA,NA,NA,539,NA,2380,236302,9823,NA,2042,120,387,NA,NA,724,0.39245230280957,1505,162980,108,256501000,170433,2102000,5888,1731,154548,89,238190000,137603,1181000,3307,1.11049839822421,3.76996780132944,-226,8432,9
"01097","Mobile","Alabama",3003,NA,4887,NA,NA,56395,NA,10163,67,6275,NA,7,264,NA,242,40,3317,1.17276117449924,698,88789,127,84660000,121289,796000,9366,876,113653,130,83173000,94946,2538000,22457,0.952553903031286,3.97155415344606,-178,-24864,6
"01099","Monroe","Alabama",NA,NA,13135,NA,364,NA,NA,15125,NA,NA,NA,NA,14,19,NA,15,15806,1.14253985279406,480,140597,293,44478000,92662,2925000,10301,505,118805,235,19248000,38114,2822000,12710,1.3181498164296,4.01287938717129,-25,21792,17
"01101","Montgomery","Alabama",4244,NA,1404,NA,NA,8297,NA,1925,17736,40949,NA,NA,100,NA,NA,NA,2783,1.36562803933846,603,220066,365,77438000,128422,927000,6481,620,223079,360,41655000,67185,1251000,8231,0.624526784517064,3.81164202145315,-17,-3013,10
"01103","Morgan","Alabama",8877,NA,1361,392,202,1081,54,1915,80188,9817,4854,19,148,277,NA,86,0,1.02383871713518,1237,152567,123,109270000,88335,1462000,6017,1457,161531,111,96851000,66473,1432000,5187,0.981486766052488,3.77938001149166,-220,-8964,9
"01105","Perry","Alabama",6421,NA,NA,255,21,NA,NA,2322,NA,6323,2032,NA,26,NA,10583,NA,1650,1.62505277995609,389,157250,404,29633000,76178,1428000,6867,390,165773,425,17548000,44995,1390000,9267,0.958137553322849,3.83676704739421,-1,-8523,15
"01107","Pickens","Alabama",5165,NA,NA,296,NA,NA,NA,835,94280,4354,NA,NA,45,36,2323,7,3234,0.650014762706635,433,102646,237,110575000,255370,511000,5876,503,130751,260,109821000,218332,650000,5651,0.69707887006936,3.76908178711822,-70,-28105,9
"01109","Pike","Alabama",2133,NA,2017,NA,999,1199,NA,5117,110377,7559,NA,NA,13,105,NA,NA,874,0.685642304434832,600,167272,279,130393000,217321,1573000,4840,709,179175,253,110888000,156401,2852000,8462,0.973305473012958,3.68484536164441,-109,-11903,9
"01111","Randolph","Alabama",821,NA,NA,NA,25,NA,10,634,101809,NA,NA,1,23,39,NA,7,8144,0.347751150115712,611,113918,186,111513000,182510,831000,6441,610,114717,188,74945000,122861,153000,1311,0.863008672110259,3.80895329915591,1,-799,9
"01113","Russell","Alabama",2451,NA,2625,237,NA,4832,NA,5790,10776,1482,NA,NA,97,288,NA,NA,278,1.71865818042442,280,117351,419,28856000,103057,738000,7610,303,94155,311,11879000,39204,1551000,17423,0.798569567056462,3.88138465677057,-23,23196,9
"01115","St. Clair","Alabama",148,NA,NA,5547,NA,3282,NA,741,51844,2538,NA,279,78,147,NA,94,117,0.798164646078473,540,67447,125,64815000,120027,119000,3615,621,71574,115,58852000,94770,150000,4065,0.246584324099522,3.55810830163055,-81,-4127,9
"01117","Shelby","Alabama",2011,NA,2430,130,NA,4353,NA,697,76,1795,NA,9,21,336,NA,146,165,1.74004518594929,401,58452,146,12169000,30346,659000,15685,474,54810,116,9764000,20599,543000,8491,1.05208603897462,4.19548452303376,-73,3642,6
"01119","Sumter","Alabama",2273,NA,NA,211,59,NA,NA,1168,3263,8731,NA,10924,70,NA,3665,NA,109,1.61912462292015,428,239820,560,30473000,71199,1057000,6774,431,180931,420,17858000,41434,887000,5542,0.644189588663678,3.83084519230861,-3,58889,12
"01121","Talladega","Alabama",9605,NA,4190,NA,65,NA,NA,1325,19910,3612,NA,1,119,49,6,10,1812,1.42856973829068,519,99836,192,40704000,78428,717000,8056,625,119042,190,28384000,45414,1058000,6914,0.856231983296677,3.90611945754556,-106,-19206,9
"01123","Tallapoosa","Alabama",408,NA,1171,62,832,213,NA,721,5401,NA,NA,3,30,NA,NA,NA,1728,1.51960684024584,345,60953,177,10569000,30635,266000,7389,377,64078,170,6616000,17548,324000,5233,0.639886550936185,3.86858566655877,-32,-3125,9
"01125","Tuscaloosa","Alabama",5337,NA,1443,524,28,877,49,1084,15825,2142,NA,5,35,207,110,7,1,1.38972156805445,497,85985,173,27674000,55682,493000,5797,613,110588,180,25389000,41417,1387000,12061,0.758424223677992,3.76320330037077,-116,-24603,9
"01127","Walker","Alabama",671,NA,NA,NA,65,NA,NA,718,26133,2701,NA,2,102,328,34,22,2329,0.828278743255878,482,54518,113,33105000,68682,105000,4571,629,70382,112,52562000,83564,95000,1609,0.284649383765258,3.66001122128933,-147,-15864,9
"01129","Washington","Alabama",411,NA,NA,134,216,NA,NA,4032,24364,2297,NA,23,38,29,11,66,36,0.810977106075024,371,95567,258,31657000,85330,373000,5737,473,83610,177,30780000,65074,342000,3531,0.591400878779897,3.75868484988244,-102,11957,9
"01131","Wilcox","Alabama",NA,NA,966,284,NA,NA,NA,951,NA,3368,NA,NA,15,90,NA,45,NA,1.17868147812171,316,119620,379,NA,NA,1142000,8043,368,168849,459,7611000,20682,1126000,6585,0.979862305833741,3.90541806870254,-52,-49229,10
"01133","Winston","Alabama",61,NA,NA,80,96,NA,NA,588,53202,3408,NA,NA,23,40,NA,NA,110,0.334728419578562,520,57959,111,57608000,110785,135000,3556,626,64541,103,65480000,104601,144000,1845,0.367212884763993,3.55096175229818,-106,-6582,9
"02010","Aleutian Islands","Alaska",NA,NA,NA,64,NA,262,NA,NA,25,91,NA,NA,5,NA,NA,305,NA,1.34510710923894,40,668016,16700,NA,NA,346000,21613,35,693611,19817,NA,NA,140000,46567,-0.285710765821233,4.33471505346436,5,-25595,16
"02020","Anchorage","Alaska",NA,NA,NA,NA,NA,7932,NA,NA,241,265,1061,NA,49,NA,13551,403,6517,1.30928743885045,291,36378,125,30019000,103158,354000,6949,278,38391,138,31752000,114216,110000,6478,0.988164443407178,3.84192231167945,13,-2013,15
"02090","Fairbanks","Alaska",NA,NA,NA,NA,34,2900,NA,NA,48,554,NA,104,19,14,NA,NA,5467,0.963617249247626,217,99620,459,9140000,42122,1354000,20210,212,110780,523,7075000,33375,1356000,27129,1.13327212695276,4.3055663135153,5,-11160,17
"02110","Juneau","Alaska",NA,NA,NA,46,NA,861,NA,NA,24,NA,NA,NA,NA,NA,11463,NA,18,0.300861559309198,52,707,14,12412000,238687,25000,3626,37,514,14,11770000,318120,NA,NA,1.54852059487514,3.55942779975949,15,193,15
"02122","Kenai Peninsula","Alaska",NA,NA,NA,174,27,1052,NA,394,15,174,NA,NA,3,NA,NA,NA,NA,1.20744737283497,162,29140,180,NA,NA,353000,6531,124,38289,309,NA,NA,38000,4799,1.08328515795385,3.81497968376076,38,-9149,6
"04001","Apache","Arizona",586,NA,NA,11328,38,25,NA,1220,19,8826,26,19,1287,735,NA,84,1,1.28201719145887,5591,5597672,1001,24194000,4327,973000,1170,4243,NA,NA,12622000,2975,28000,398,-0.759894606780079,3.06818586174616,1348,NA,4
"04003","Cochise","Arizona",36661,NA,5265,NA,32616,NA,NA,21072,297,NA,NA,166,564,729,NA,323,52305,1.51675385398736,1093,916672,839,149998000,137235,2594000,14020,1065,824226,774,117130000,109981,3698000,25157,0.451756005840553,4.14674801363064,28,92446,17
"04005","Coconino","Arizona",198,NA,NA,1974,39,125,NA,21,11,19009,NA,45,2816,661,666,246,1,0.989717700962453,2239,5815557,2597,25812000,11528,987000,1921,1597,6101943,3821,NA,NA,372000,7752,-0.770274164063215,3.28352736486169,642,-286386,10
"04007","Gila","Arizona",117,NA,NA,NA,57,26,NA,NA,NA,3071,NA,1,87,NA,NA,141,252,0.764305376272336,195,1189016,6098,3752000,19240,323000,15395,279,1166457,4181,4394000,15748,153000,12724,-0.565985176412868,4.18737969323922,-84,22559,10
"04009","Graham","Arizona",14275,NA,NA,766,2719,NA,NA,2203,27,4436,NA,17,43,402,NA,101,145896,0.606370538229738,412,1251228,3037,170885000,414769,3056000,19344,343,1345629,3923,NA,NA,2974000,28594,0.387816895430342,4.2865462835167,69,-94401,17
"04011","Greenlee","Arizona",NA,NA,NA,NA,NA,NA,NA,1345,3,NA,NA,2,248,160,120,NA,7859,0.66579270384279,159,52358,329,9737000,61239,337000,6481,127,35267,278,6210000,48895,315000,8744,0.808646852097911,3.81164202145315,32,17091,17
"04012","La Paz","Arizona",8627,NA,26366,NA,NA,6,NA,97744,NA,4709,NA,NA,4,NA,NA,NA,45787,1.19924148830779,125,NA,NA,183243000,1465943,2011000,46759,99,NA,NA,136593000,1379731,4192000,123303,NA,4.66986521465563,26,NA,8
"04013","Maricopa","Arizona",47976,NA,40457,101259,9016,128888,NA,119298,NA,NA,398256,748,521,13644,3330,NA,140082,1.79368199080612,2479,475898,192,1003475000,404790,5379000,22318,1793,485469,271,813491000,453704,17150000,92704,1.05318766463709,4.34865527324576,686,-9571,11
"04015","Mohave","Arizona",NA,NA,6963,220,NA,158,NA,13157,21,7635,NA,NA,NA,361,474,148,1047,1.37725224648446,335,1244343,3714,30184000,90103,1242000,32686,334,858392,2570,18632000,55783,761000,50720,-0.000818513191704817,4.51436177637057,1,385951,8
"04017","Navajo","Arizona",1019,NA,NA,4234,16,404,NA,164,35,NA,NA,NA,1100,736,NA,71,56736,0.538316500027336,3846,4323178,1124,64515000,16774,832000,1648,2949,4502752,1527,46532000,15779,77000,994,-0.7156797909978,3.2169572073611,897,-179574,17
"04019","Pima","Arizona",NA,NA,10486,1989,NA,NA,NA,10122,54,NA,NA,375,NA,7649,NA,1178,65434,1.10081793399574,855,NA,NA,97287000,113786,1085000,24101,622,NA,NA,67500000,108521,3771000,91987,NA,4.38203506271893,233,NA,17
"04021","Pinal","Arizona",61800,NA,94008,NA,7781,NA,NA,91840,NA,314683,294886,6,457,1661,NA,317,60298,1.60805458264492,938,1174727,1252,927737000,989058,9558000,36621,785,1047112,1334,799811000,1018867,17624000,72827,0.910430075465626,4.56373019929261,153,127615,10
"04023","Santa Cruz","Arizona",NA,NA,NA,83,349,NA,NA,NA,11,13282,NA,NA,NA,527,NA,106,300,0.447814919389088,236,214930,911,14658000,62109,996000,26926,193,129581,671,4272000,22133,156000,19469,0.665962299734813,4.43017184145627,43,85349,10
"04025","Yavapai","Arizona",452,NA,NA,1133,649,7782,NA,591,167,25856,NA,7,101,4247,NA,643,0,1.2172655097083,940,824506,877,41628000,44285,141000,4689,756,639042,845,NA,NA,282000,10429,-0.766974707734388,3.67108023273885,184,185464,10
"04027","Yuma","Arizona",52023,NA,NA,579124,NA,2850,NA,66063,12,NA,NA,73,NA,169,337,849,283509,1.03533485453646,562,214675,382,985009000,1752684,1815000,18903,452,210480,466,959968000,2123822,4395000,46760,0.927095157801372,4.27653073433479,110,4195,4
"05001","Arkansas","Arkansas",296815,NA,NA,NA,NA,241,NA,44,NA,974,NA,NA,NA,13,NA,NA,86,0.0330875780003229,492,402159,817,298173000,606042,17373000,42064,539,405103,752,180051000,334046,14310000,31176,1.63547702733908,4.62391056876229,-47,-2944,1
"05003","Ashley","Arkansas",49080,NA,13747,3531,NA,NA,NA,259,8,1381,NA,NA,10,50,4641,NA,137,1.01713247174325,376,111521,297,72844000,193735,3123000,26688,436,154180,354,64713000,148425,5578000,40419,1.44721532917448,4.42631602895765,-60,-42659,1
"05005","Baxter","Arkansas",NA,NA,NA,NA,74,NA,NA,489,6381,12238,NA,NA,36,218,NA,NA,931,0.980435714048521,561,91868,164,20367000,36306,948000,10085,668,97150,145,17522000,26231,135000,2019,1.0136440756098,4.00367590254878,-107,-5282,10
"05007","Benton","Arkansas",600,NA,NA,475,431,1494,NA,2050,457539,57152,6544,NA,NA,571,NA,NA,2272,0.509056021607814,2157,304845,141,529128000,245307,1832000,6190,2151,254608,118,433957000,201747,495000,3459,0.778846393117135,3.79169064902012,6,50237,9
"05009","Boone","Arkansas",NA,NA,NA,26,162,NA,NA,1075,87438,33941,971,NA,146,182,NA,NA,124,0.71515143776688,1282,257154,201,124065000,96775,3730000,8364,1266,242042,191,119807000,94634,1476000,2970,1.16151554769983,3.92241402414563,16,15112,9
"05011","Bradley","Arkansas",NA,NA,NA,NA,NA,NA,NA,312,32080,NA,NA,NA,13,10,NA,NA,11218,0.615024157357894,185,19757,107,43633000,235852,133000,5561,219,25235,115,29855000,136326,53000,2776,0.828130641118251,3.7451528950769,-34,-5478,9
"05013","Calhoun","Arkansas",NA,NA,NA,NA,235,NA,NA,124,4900,652,NA,NA,10,7,NA,NA,30,0.656296262873431,92,13875,151,5958000,64763,32000,1590,101,16405,162,2925000,28958,65000,2690,0.362916986525192,3.20139712432045,-9,-2530,9
"05015","Carroll","Arkansas",11,NA,NA,218,72,362,NA,1220,263754,40021,1006,15,140,134,NA,51,2,0.461092260701443,1126,256416,228,307006000,272652,2464000,8647,1139,242506,213,261109000,229244,413000,2429,0.982695582431447,3.93686545897562,-13,13910,9
"05017","Chicot","Arkansas",183164,NA,13752,NA,88,NA,NA,68,NA,2220,NA,NA,4,NA,5228,NA,195,0.436497656431264,313,289534,925,204719000,654055,7640000,29159,382,285517,747,129107000,337977,9232000,31945,1.421393788283,4.4647726258898,-69,4017,1
"05019","Clark","Arkansas",685,NA,NA,NA,NA,NA,NA,1139,8145,3681,NA,NA,13,NA,NA,NA,1420,1.24098743072278,381,90215,237,15083000,39587,342000,3929,430,81808,190,16877000,39250,315000,3751,0.578747352598182,3.59428202881181,-49,8407,9
